# y_px x_px vel(km/s) disp(km/s) chi2/DOF 1-sigma
11 10 -3.156843861866231009e+02 3.445279425949304368e+02 1.433001707355362031e+00 5.874890827316773922e+00
11 11 -3.311947433711029589e+02 3.390531863303513092e+02 1.419834493881274584e+00 6.462396364693625550e+00
11 12 -3.231011213128593340e+02 3.139734297787479704e+02 1.410597497700005754e+00 7.373230840062499070e+00
11 13 -3.020668427622382524e+02 3.187161159751797754e+02 1.229321249066435362e+00 7.965654063135251484e+00
11 14 -3.341974119228944460e+02 3.392284069605227046e+02 1.425254378244442455e+00 9.873285162688471672e+00
11 15 -3.096987223506144460e+02 3.340071266127978902e+02 1.344702195490875329e+00 1.090387423496060038e+01
11 16 -3.289495776915261445e+02 3.344541684107633728e+02 1.216304993244461619e+00 1.208505931307929160e+01
11 17 -3.170961144820423101e+02 2.998422637600177723e+02 1.421697849972829442e+00 1.234063210112283571e+01
11 18 -2.740685980326497884e+02 3.222304471917810247e+02 1.341957175322405105e+00 1.446004004118227471e+01
11 19 -2.831769842118156362e+02 3.068703335366643046e+02 1.457064530852895778e+00 1.700090339094698777e+01
12 0 -2.961365809142172338e+02 3.129425898704001270e+02 1.246946603936244458e+00 1.463481926440240954e+01
12 1 -3.066282730166360011e+02 3.045673001389192791e+02 1.374197151930456107e+00 1.283098795928984615e+01
12 2 -3.108024907145538691e+02 3.284735634727198885e+02 1.173104708700550836e+00 1.203712366202884354e+01
12 3 -3.194785015166626749e+02 3.284772578099939437e+02 1.212788066766117279e+00 1.141500453344456112e+01
12 4 -3.294231192412087239e+02 3.248467902637264046e+02 1.172973107035836904e+00 9.581333636384099961e+00
12 5 -3.081162610164690818e+02 3.099062538906385385e+02 1.234855077710988569e+00 8.059445709900343147e+00
12 6 -3.104846584676359385e+02 3.093565124416026038e+02 1.383731702565532684e+00 8.249259812506364753e+00
12 7 -3.298409767680563505e+02 3.263559393379492803e+02 1.316033654512853479e+00 7.157074806534558853e+00
12 8 -3.079443110733359390e+02 3.053166499049337403e+02 1.537945156316558704e+00 7.199063126630597331e+00
12 9 -3.030369340735658170e+02 3.395245132796647454e+02 1.522491048213107323e+00 7.222247824756964363e+00
12 10 -3.050989699549322722e+02 3.435962702329505305e+02 1.381395245542190509e+00 7.841862826680658927e+00
12 11 -3.030638643375534116e+02 3.350835602159941118e+02 1.365174960183032971e+00 7.777113163956443032e+00
12 12 -3.058314706465813515e+02 3.482262962831857749e+02 1.101354153771271216e+00 7.998546714260671209e+00
12 13 -3.277510340635733428e+02 3.249464381539067972e+02 1.275373265370783438e+00 1.037785907973800725e+01
12 14 -3.014642576008297397e+02 3.096405625748230364e+02 1.268806120360664202e+00 1.007296908931062340e+01
12 15 -3.263273541082198790e+02 3.394318521728312135e+02 1.364089895402149866e+00 1.256618061069772452e+01
12 16 -3.078754840503668220e+02 3.092323117271980095e+02 1.288626008501182474e+00 1.293725861855330095e+01
12 17 -3.139981574241373323e+02 3.092304856546543874e+02 1.417912885713268345e+00 1.438154896126716764e+01
12 18 -3.323734945978837345e+02 2.962138578171181393e+02 1.159226843011992969e+00 1.324821089703653243e+01
